APP,CATEGORY,DESCRIPTION,AUTH_METHODS,AUTH_EVIDENCE,ACCESS_MODEL,ACCESS_NOTES,ACCESS_EVIDENCE,API_TYPES,API_BREADTH,API_NOTES,API_EVIDENCE,MCP_STATUS,MCP_EVIDENCE,BUILDABILITY,MAIN_BLOCKER,CONFIDENCE,NEEDS_HUMAN_REVIEW,REVIEW_FLAGS,SOURCES,PIPELINE_VERSION,RESEARCH_DATE
Google Ads,Marketing Ads Email and Social,"Google Ads API lets developers manage ad campaigns, keywords, and reporting for Google Ads accounts.",OAUTH2,https://developers.google.com/google-ads/api/docs/oauth/overview,SELF_SERVE_TRIAL,"A developer token is required for all access. 'Test' level is immediate/self-serve for a test account. 'Basic' access is now automated -- reviewed within minutes after brand verification. 'Standard' (full production) access requires a manual review by Google. So the ceiling of usable access is gated, even though getting started is not.",https://developers.google.com/google-ads/api/docs/api-policy/developer-token,REST; RPC,BROAD,"Campaigns, ad groups, keywords, reporting/reach-forecasting -- a large, well-documented API surface across REST and gRPC client libraries.",https://developers.google.com/google-ads/api/docs/get-started/make-first-call,OFFICIAL,https://github.com/googleads/google-ads-mcp,FEASIBLE_WITH_SETUP,Standard (full production) access requires Google's manual review of the developer token application; Basic access is enough for many use cases and is now automated.,LOW,TRUE,CONDITIONAL_ACCESS; LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://developers.google.com/google-ads/api/docs/api-policy/developer-token; https://developers.google.com/google-ads/api/docs/oauth/overview; https://github.com/googleads/google-ads-mcp,v2,2026-09-16
Gorgias,Support and Helpdesk,"Gorgias is an ecommerce-focused helpdesk with a REST API for tickets, customers, and integrations with Shopify/BigCommerce.",API_KEY; OAUTH2,https://developers.gorgias.com/docs/access-tokens-api-keys; https://developers.gorgias.com/docs/oauth2-authentication-for-creating-apps-with-gorgias,SELF_SERVE_FREE,Access tokens/API keys generated from account settings; OAuth2 available for app-store apps.,https://developers.gorgias.com/docs/access-tokens-api-keys,REST,MODERATE,"Tickets, customers, and ecommerce-integration-specific endpoints.",https://developers.gorgias.com/reference/authentication,OFFICIAL,https://updates.gorgias.com/publications/gorgias-mcp-is-now-in-open-beta,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://developers.gorgias.com/docs/access-tokens-api-keys; https://updates.gorgias.com/publications/gorgias-mcp-is-now-in-open-beta,v2,2026-09-16
Grain,AI Research and Media-native,"Grain is an AI meeting recording and note-taking platform with a REST API for recordings, transcripts, and sharing.",TOKEN; OAUTH2,https://developers.grain.com/,SELF_SERVE_FREE,Personal Access Tokens are self-generated per-user from account integration settings; Workspace Access Tokens are self-generated by authorized workspace users. No explicit plan-gating documented.,https://developers.grain.com/,REST,BROAD,"Recordings (list/retrieve/download/upload/update), transcripts, sharing/collaboration, webhooks, users/teams metadata, and AI-generated summaries and action items.",https://developers.grain.com/,OFFICIAL,https://developers.grain.com/mcp,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://developers.grain.com/; https://developers.grain.com/mcp,v2,2026-09-16
Gumroad,Ecommerce,"Gumroad is a creator-commerce platform (digital products, memberships) with a REST API for sales, products, and subscribers.",OAUTH2,https://help.gumroad.com/article/280-create-application-api,SELF_SERVE_FREE,"Any Gumroad account holder can create an OAuth application from account settings, free, no approval step found.",https://help.gumroad.com/article/280-create-application-api,REST,NARROW,"Sales, products, subscribers, and licenses -- a fairly narrow, creator-commerce-scoped object model.",https://help.gumroad.com/article/280-create-application-api,COMMUNITY,https://mcpservers.org/servers/rmarescu/gumroad-mcp,READY,,MEDIUM,TRUE,SOURCE_NOT_VERIFIED,https://help.gumroad.com/article/280-create-application-api,v2,2026-09-16
Harvest,Productivity and Project Management,"Harvest is a time-tracking and invoicing tool with a REST API (v2) for time entries, projects, and invoices.",TOKEN; OAUTH2,https://help.getharvest.com/api-v2/authentication-api/authentication/authentication/,SELF_SERVE_FREE,"Personal access tokens are self-generated from account settings for any Harvest account, including its free trial.",https://help.getharvest.com/api-v2/authentication-api/authentication/authentication/,REST,MODERATE,"Time entries, projects, clients, invoices, and expenses.",https://help.getharvest.com/api-v2/introduction/overview/general/,COMMUNITY,https://github.com/taiste/harvest-mcp-server; https://mcpservers.org/servers/ianaleck/harvest-mcp-server,READY,,MEDIUM,TRUE,SOURCE_NOT_VERIFIED,https://help.getharvest.com/api-v2/authentication-api/authentication/authentication/,v2,2026-09-16
Help Scout,Support and Helpdesk,"Help Scout is an email-based helpdesk with a REST API (Mailbox API) for conversations, customers, and mailboxes.",OAUTH2,https://developer.helpscout.com/mailbox-api/overview/authentication/,SELF_SERVE_FREE,OAuth2 app registration is self-serve via the developer portal.,https://developer.helpscout.com/apps/getting-started/,REST,MODERATE,"Conversations, customers, mailboxes, reports.",https://developer.helpscout.com/mailbox-api/endpoints/conversations/get/,UNCLEAR,https://www.eesel.ai/blog/claude-for-helpscout,NEEDS_REVIEW,"A third-party article calls this 'the official Help Scout MCP server,' but a site-restricted search of developer.helpscout.com found no matching official MCP page -- classified UNCLEAR rather than trusting the third-party 'official' label, pending a direct check.",LOW,TRUE,CONFLICTING_SOURCES; LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://developer.helpscout.com/mailbox-api/overview/authentication/; https://www.eesel.ai/blog/claude-for-helpscout,v2,2026-09-16
higgsfield,AI Research and Media-native,"Higgsfield is a generative media (image/video) API and CLI, providing a unified integration point across multiple underlying generation models.",API_KEY,https://docs.higgsfield.ai/docs,SELF_SERVE_FREE,Credentials (key ID/secret pair) are self-generated in Higgsfield Cloud (cloud.higgsfield.ai) with no approval step.,https://docs.higgsfield.ai/docs,REST; CLI,MODERATE,"Unified image and video generation across multiple models, with async request lifecycle, file uploads, and webhooks; also distributed as a CLI (github.com/higgsfield-ai/cli).",https://docs.higgsfield.ai/docs; https://higgsfield.ai/cli,COMMUNITY,https://higgsfield.ai/creator-hub/help-center/mcp-cli/how-do-i-access-higgsfield-via-cli; https://github.com/Hikhakk/higgsfield-mcp-unified,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://docs.higgsfield.ai/docs; https://higgsfield.ai/creator-hub/help-center/mcp-cli/how-do-i-access-higgsfield-via-cli,v2,2026-09-16
HubSpot,CRM and Sales,"HubSpot is a CRM and marketing/sales/service platform with a REST API for reading and writing contacts, deals, companies, tickets, and marketing objects.",OAUTH2; TOKEN,https://developers.hubspot.com/docs/apps/legacy-apps/authentication/intro-to-auth,SELF_SERVE_FREE,"Free developer/sandbox accounts (e.g. the free CMS developer sandbox) are self-serve and let you build and test immediately. Conditional gate: the scopes and rate limits an integration actually gets against a real customer's portal depend on that portal's paid HubSpot subscription tier -- building/testing is free, but some functionality requires the target account to be on a paid plan.",https://developers.hubspot.com/docs/getting-started/account-types; https://offers.hubspot.com/free-cms-developer-sandbox,REST,BROAD,"Covers CRM objects (contacts, companies, deals, tickets), marketing (email, forms, workflows), and CMS -- one of the widest object models in the CRM category.",https://developers.hubspot.com/docs/apps/legacy-apps/authentication/intro-to-auth,OFFICIAL,https://developers.hubspot.com/ai-tools/mcp,READY,,LOW,TRUE,CONDITIONAL_ACCESS; LOW_CONFIDENCE; SOURCE_NOT_VERIFIED,https://developers.hubspot.com/docs/apps/legacy-apps/authentication/intro-to-auth; https://developers.hubspot.com/ai-tools/mcp; https://developers.hubspot.com/docs/getting-started/account-types,v2,2026-09-16
Intercom,Support and Helpdesk,"Intercom is a customer messaging and support platform (with the Fin AI agent) offering a REST API for conversations, contacts, and companies.",OAUTH2; TOKEN,https://developers.intercom.com/docs/build-an-integration/learn-more/authentication,SELF_SERVE_FREE,Developer/access token creation is self-serve through the Intercom Developer Hub for any workspace.,https://developers.intercom.com/docs/build-an-integration/learn-more/authentication,REST,BROAD,"Conversations, contacts, companies, help center articles, and the Fin AI agent API.",https://developers.intercom.com/docs/references/rest-api/api.intercom.io/admins,OFFICIAL,https://developers.intercom.com/docs/guides/mcp,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://developers.intercom.com/docs/build-an-integration/learn-more/authentication; https://developers.intercom.com/docs/guides/mcp,v2,2026-09-16
iPayX,Finance and Fintech,iPayX (ipayx.ai) is an FX verification/audit product that compares bank-applied foreign-exchange rates against real-time mid-market rates.,UNCLEAR,https://ipayx.ai/docs,UNCLEAR,"The ipayx.ai site describes a consumer-facing FX audit tool ('enter your transaction') rather than a self-serve developer API signup flow. A separate community MCP connector ('iPayX FX Audit') exists on Glama/mcpservers.org, but the primary site does not document programmatic API access, auth, or signup for developers.",https://ipayx.ai/docs,UNCLEAR,UNCLEAR,"No developer API reference, endpoint list, or SDK documentation found on the official site; only a consumer-facing web interface was visible.",https://ipayx.ai/docs,COMMUNITY,https://glama.ai/mcp/connectors/io.github.Ipayx-stellar/fx-audit; https://mcpservers.org/servers/ipayx-technologies/mcp-fx-audit,NEEDS_REVIEW,"No public developer API documentation was found; the product appears to be a consumer-facing tool with a separate, unofficial MCP connector.",LOW,TRUE,ACCESS_UNCLEAR; API_UNCLEAR; AUTH_UNCLEAR; LOW_CONFIDENCE; NO_OFFICIAL_SOURCE; SOURCE_NOT_VERIFIED,https://ipayx.ai/docs,v2,2026-09-16
Jira,Productivity and Project Management,"Jira (Atlassian) is an issue-tracking/project-management tool with a REST API for issues, projects, and workflows.",OAUTH2; API_KEY,https://developer.atlassian.com/cloud/jira/platform/oauth-2-3lo-apps/,SELF_SERVE_FREE,"OAuth 2.0 (3LO) apps and API tokens are self-serve via the Atlassian developer console for any account, including Jira's free tier.",https://developer.atlassian.com/cloud/jira/platform/security-for-other-integrations/,REST,BROAD,"Issues, projects, workflows, and (through the broader Atlassian platform) Confluence, Jira Service Management, Bitbucket, and Compass.",https://developer.atlassian.com/cloud/jira/platform/security-for-other-integrations/,OFFICIAL,https://github.com/atlassian/atlassian-mcp-server; https://atlassian.github.io/atlassian-mcp-server/,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://developer.atlassian.com/cloud/jira/platform/oauth-2-3lo-apps/; https://github.com/atlassian/atlassian-mcp-server,v2,2026-09-16
Klaviyo,Marketing Ads Email and Social,"Klaviyo is an ecommerce-focused email/SMS marketing platform with a REST API for profiles, campaigns, and events.",API_KEY; OAUTH2,https://developers.klaviyo.com/en/docs/authenticate_; https://developers.klaviyo.com/en/docs/set_up_oauth,SELF_SERVE_FREE,"Private API keys are self-generated from account settings, documented directly on the public developer site.",https://developers.klaviyo.com/en/v2023-01-24/docs/retrieve_api_credentials,REST,BROAD,"Profiles, events, campaigns, flows, segments, and catalog objects.",https://developers.klaviyo.com/en/reference/api_overview,OFFICIAL,https://developers.klaviyo.com/en/docs/klaviyo_mcp_server; https://www.klaviyo.com/newsroom/mcp-server,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://developers.klaviyo.com/en/docs/authenticate_; https://developers.klaviyo.com/en/docs/klaviyo_mcp_server,v2,2026-09-16
Lark (Larksuite),Communications and Messaging,"Lark is an all-in-one workspace/messaging suite (ByteDance) with a Server API for messaging, docs, and authentication.",OAUTH2; TOKEN,https://open.larksuite.com/document/home/introduction-to-scope-and-authorization/overview,SELF_SERVE_FREE,"Self-serve developer app creation on the official open platform (open.larksuite.com), same pattern as Feishu/Lark's China counterpart.",https://open.larksuite.com/document/home/introduction-to-scope-and-authorization/overview,REST,BROAD,"Messaging, docs, calendar, approval, and other workspace-suite APIs.",https://open.larksuite.com/document/ukTMukTMukTM/uMTNz4yM1MjLzUzM,OFFICIAL,https://github.com/larksuite/lark-openapi-mcp,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://open.larksuite.com/document/home/introduction-to-scope-and-authorization/overview; https://github.com/larksuite/lark-openapi-mcp,v2,2026-09-16
Linear,Productivity and Project Management,"Linear is a software issue-tracking/project-management tool with a GraphQL API for issues, projects, and teams.",API_KEY; OAUTH2,https://linear.app/developers/graphql,SELF_SERVE_FREE,Personal API keys are self-generated from account settings for any Linear workspace.,https://linear.app/developers,GRAPHQL,MODERATE,"Issues, projects, teams, cycles, and comments via a single GraphQL endpoint.",https://developers.linear.app/docs/graphql/working-with-the-graphql-api,OFFICIAL,https://linear.app/docs/mcp; https://linear.app/changelog/2025-05-01-mcp,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://linear.app/developers/graphql; https://linear.app/docs/mcp,v2,2026-09-16
LinkedIn Ads,Marketing Ads Email and Social,LinkedIn Marketing/Advertising API lets approved partners manage LinkedIn ad campaigns and audiences programmatically.,OAUTH2,https://learn.microsoft.com/en-us/linkedin/shared/authentication/getting-access,PARTNER_GATED,Official docs state explicitly: developers seeking Advertising API permissions 'must be approved' as a LinkedIn Marketing Partner. This is not self-serve at any tier -- you apply for the Advertising API product and go through partner approval before receiving any marketing-related access.,https://learn.microsoft.com/en-us/linkedin/shared/authentication/getting-access,REST,MODERATE,"Campaign management and audience/reporting endpoints, accessible only once partner-approved.",https://learn.microsoft.com/en-us/linkedin/shared/authentication/getting-access,NONE_FOUND,https://theadspend.com/blog/linkedin-ads-mcp,GATED,"LinkedIn Marketing Partner approval is required before any Advertising API access is granted -- a significant, explicit partnership gate documented by LinkedIn itself.",HIGH,FALSE,,https://learn.microsoft.com/en-us/linkedin/shared/authentication/getting-access; https://business.linkedin.com/marketing-solutions/marketing-partners,v2,2026-09-16
LiveAgent,Support and Helpdesk,"LiveAgent is a help-desk and live-chat platform with a REST API for tickets, agents, and chat data.",API_KEY,https://support.liveagent.com/741982-API-key,SELF_SERVE_FREE,"API key is generated from account settings, documented in the official support/help center rather than a dedicated developer portal.",https://support.liveagent.com/741982-API-key,REST,NARROW,Documentation is thinner than category peers -- support-article-based rather than a full developer reference site; breadth not fully confirmed.,https://support.liveagent.com/802463-REST-API,NONE_FOUND,,FEASIBLE_WITH_SETUP,"Documentation is support-article-based rather than a proper developer reference, making full API breadth harder to assess with confidence.",LOW,TRUE,API_UNCLEAR; LOW_CONFIDENCE; SOURCE_NOT_VERIFIED,https://support.liveagent.com/741982-API-key; https://support.liveagent.com/802463-REST-API,v2,2026-09-16
Magento (Adobe Commerce),Ecommerce,Adobe Commerce (Magento) is an ecommerce platform with a REST/GraphQL Web API; a free open-source edition (Magento Open Source) also exists.,OAUTH2; TOKEN,https://developer.adobe.com/commerce/webapi/get-started/authentication/gs-authentication-oauth/,SELF_SERVE_FREE,"Magento Open Source is free/self-hosted with self-serve API token generation from the admin panel. Adobe Commerce (the paid/managed edition) is licensed, but the API access mechanism itself is not a separate gate beyond having an instance.",https://experienceleague.adobe.com/en/docs/commerce-operations/installation-guide/prerequisites/authentication-keys,REST; GRAPHQL,BROAD,"Products, orders, customers, and a large catalog/checkout GraphQL surface.",https://developer.adobe.com/commerce/webapi/rest/,COMMUNITY,https://github.com/thomastx05/magento-mcp,READY,,LOW,TRUE,CONDITIONAL_ACCESS; LOW_CONFIDENCE; SOURCE_NOT_VERIFIED,https://developer.adobe.com/commerce/webapi/get-started/authentication/gs-authentication-oauth/; https://developer.adobe.com/commerce/webapi/rest/,v2,2026-09-16
Mailchimp,Marketing Ads Email and Social,"Mailchimp is an email marketing platform with a REST API for audiences/lists, campaigns, and automations.",API_KEY; OAUTH2,https://mailchimp.com/developer/marketing/guides/access-user-data-oauth-2/; https://mailchimp.com/developer/marketing/docs/fundamentals/,SELF_SERVE_FREE,"API keys are self-generated from account settings for any Mailchimp account, including the free tier.",https://mailchimp.com/developer/marketing/docs/fundamentals/,REST,BROAD,"Audiences/lists, campaigns, automations, templates, and reporting.",https://mailchimp.com/developer/marketing/guides/quick-start/,NONE_FOUND,,READY,,MEDIUM,TRUE,SOURCE_NOT_VERIFIED,https://mailchimp.com/developer/marketing/docs/fundamentals/; https://mailchimp.com/developer/marketing/guides/access-user-data-oauth-2/,v2,2026-09-16
Mermaid CLI,AI Research and Media-native,"Mermaid CLI (mmdc) is an open-source command-line tool for rendering Mermaid diagram syntax to PNG, SVG, or PDF -- a local tool, not a hosted SaaS API.",NONE_FOUND,https://github.com/mermaid-js/mermaid-cli,SELF_SERVE_FREE,"Installed locally via npm (no account, no signup); open-source under the mermaid-js GitHub organization.",https://github.com/mermaid-js/mermaid-cli,CLI,NARROW,"Single-purpose: renders Mermaid diagram text to image/PDF output via command-line invocation, not a network API.",https://github.com/mermaid-js/mermaid-cli,COMMUNITY,https://github.com/peng-shawn/mermaid-mcp-server; https://github.com/Narasimhaponnada/mermaid-mcp,NEEDS_REVIEW,"This is a local CLI rendering tool with no accounts, network API, or auth surface, not a typical hosted SaaS integration -- a human should confirm whether a CLI-wrapper toolkit model fits the intended agent-integration pattern. Note: a separate commercial product, Mermaid Chart (mermaid.ai), has its own official MCP server, but that is a distinct product from this open-source CLI.",LOW,TRUE,LOW_CONFIDENCE; NON_STANDARD_INTEGRATION_MODEL,https://github.com/mermaid-js/mermaid-cli,v2,2026-09-16
Meta Ads,Marketing Ads Email and Social,Meta Marketing API lets developers manage ad campaigns across Facebook and Instagram.,OAUTH2; TOKEN,https://developers.facebook.com/docs/marketing-api/get-started/authentication/,SELF_SERVE_TRIAL,Managing your own ad account with a user/system-user access token is achievable self-serve. Widely reported (but not independently confirmed against an official page in this pass) that broader marketing permissions beyond your own account require Meta App Review -- same unresolved-official-confirmation situation as WhatsApp Business in this dataset. Flagged for review rather than asserted.,https://developers.facebook.com/docs/marketing-api/get-started/authentication/,REST,BROAD,"Campaign, ad set, ad, creative, and insights/reporting objects across Facebook and Instagram placements.",https://developers.facebook.com/docs/marketing-api/get-started/authentication/,COMMUNITY,https://www.markifact.com/meta-ads-mcp; https://github.com/mikusnuz/meta-mcp,NEEDS_REVIEW,Production/App-Review gating for broader marketing permissions could not be confirmed from an official page fetched in this pass (same class of gap as WhatsApp Business).,LOW,TRUE,ACCESS_UNCLEAR; CONDITIONAL_ACCESS; LOW_CONFIDENCE,https://developers.facebook.com/docs/marketing-api/get-started/authentication/,v2,2026-09-16
Monday.com,Productivity and Project Management,"monday.com is a work OS / project-management platform with a GraphQL API for boards, items, and columns.",API_KEY; OAUTH2,https://developer.monday.com/api-reference/docs/authentication,SELF_SERVE_FREE,"API tokens are self-generated from account admin settings, including on the free plan.",https://developer.monday.com/api-reference/docs/getting-started,GRAPHQL,BROAD,"Boards, items, columns, updates, and a large app/integration framework (OAuth apps, webhooks).",https://developer.monday.com/api-reference/docs/getting-started,OFFICIAL,https://developer.monday.com/api-reference/docs/mcp-api-token,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://developer.monday.com/api-reference/docs/authentication; https://developer.monday.com/api-reference/docs/mcp-api-token,v2,2026-09-16
MongoDB Atlas,Developer Infra and Data Platforms,"MongoDB Atlas is a managed MongoDB cloud service with an Administration API for provisioning clusters, users, and network access.",API_KEY; OAUTH2,https://www.mongodb.com/docs/atlas/api/api-authentication/,SELF_SERVE_FREE,A free-tier (M0) cluster and self-serve Atlas Admin API key creation are both available directly from account settings.,https://www.mongodb.com/docs/atlas/configure-api-access/,REST,BROAD,"Clusters, database users, network access lists, backups, and organization/project management -- the full Atlas admin surface.",https://www.mongodb.com/docs/atlas/api/atlas-admin-api-ref/,OFFICIAL,https://www.mongodb.com/products/tools/mcp-server; https://www.mongodb.com/company/blog/announcing-mongodb-mcp-server,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://www.mongodb.com/docs/atlas/api/api-authentication/; https://www.mongodb.com/products/tools/mcp-server,v2,2026-09-16
MrScraper,Data SEO and Scraping,MrScraper is a web-scraping API/tool (with AI-assisted scraping and a CLI) for extracting structured data from websites.,API_KEY,https://docs.mrscraper.com/docs/features/activating-api,UNCLEAR,"Official docs describe an 'Activating API' feature and a public CLI/SDK exist, but pricing/free-tier terms were not found in this pass.",https://docs.mrscraper.com/docs/features/activating-api,REST; CLI,NARROW,"Scraping API plus a residential-proxy feature and usage analytics; a narrower, single-purpose product compared to Apify/Bright Data.",https://docs.mrscraper.com/docs/features/activating-api,NONE_FOUND,,NEEDS_REVIEW,Pricing/access-tier terms not confirmed from official sources.,LOW,TRUE,ACCESS_UNCLEAR; LOW_CONFIDENCE; SOURCE_NOT_VERIFIED,https://docs.mrscraper.com/docs/features/activating-api,v2,2026-09-16
Neo4j,Developer Infra and Data Platforms,"Neo4j is a graph database; Neo4j Aura (the managed cloud offering) has a REST Aura API for provisioning/managing database instances, alongside the Bolt driver protocol for queries.",OAUTH2; TOKEN,https://neo4j.com/docs/aura/platform/api/authentication/,SELF_SERVE_FREE,Aura has a free tier instance and self-serve API credential creation for the Aura management API.,https://neo4j.com/docs/aura/platform/api/authentication/,REST; OTHER,MODERATE,"Aura API for instance/project management; actual graph queries go through the Bolt protocol (driver-based, not classic REST) -- tagged OTHER alongside REST to reflect that split.",https://neo4j.com/docs/aura/platform/api/specification/,OFFICIAL,https://github.com/neo4j/mcp,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://neo4j.com/docs/aura/platform/api/authentication/; https://github.com/neo4j/mcp,v2,2026-09-16
Netlify,Developer Infra and Data Platforms,"Netlify is a web-hosting/deployment platform with a REST API for sites, deploys, and forms.",TOKEN; OAUTH2,https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/,SELF_SERVE_FREE,"Personal access tokens are self-serve from account settings, free tier included.",https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/,REST,MODERATE,"Sites, deploys, forms, DNS, and environment variables.",https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/,OFFICIAL,https://github.com/netlify/netlify-mcp; https://docs.netlify.com/build/build-with-ai/netlify-mcp-server/,READY,,LOW,TRUE,LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/; https://github.com/netlify/netlify-mcp,v2,2026-09-16
NotebookLM,AI Research and Media-native,NotebookLM is Google's AI research/notebook assistant. The free consumer product has no public API; a separate paid 'Gemini Notebook Enterprise' product exposes an official Google Cloud REST API.,OAUTH2,https://docs.cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/api-notebooks,ADMIN_GATED,"The free consumer NotebookLM product (notebooklm.google.com) has no official public API -- only unofficial reverse-engineered Python wrappers exist (e.g. notebooklm-py, explicitly labeled 'Unofficial'). A separate enterprise product, 'Gemini Notebook Enterprise', has an official Google Cloud REST API, but it requires setting up Gemini Notebook Enterprise and obtaining licenses via Google Cloud -- not self-serve, and marked 'Preview' under Pre-GA terms.",https://docs.cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/api-notebooks,REST,NARROW,The Enterprise API covers creating and managing notebooks; the free consumer product has no documented API surface at all.,https://docs.cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/api-notebooks,COMMUNITY,https://github.com/google/mcp/issues/19; https://mcpservers.org/servers/moodrobotics/notebooklm-mcp-server,GATED,The free consumer product has no public API; the only official API belongs to a separate paid/licensed enterprise product requiring Google Cloud setup.,LOW,TRUE,CONDITIONAL_ACCESS; LOW_CONFIDENCE; NON_STANDARD_INTEGRATION_MODEL,https://docs.cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/api-notebooks; https://github.com/b08x/notebooklm-py,v2,2026-09-16
Notion,Productivity and Project Management,"Notion is a workspace app for notes, docs, wikis, and databases, with an API for reading and writing pages, databases, and blocks.",API_KEY; OAUTH2; TOKEN,https://developers.notion.com/docs/create-a-notion-integration,SELF_SERVE_FREE,"Internal integrations and personal access tokens are created self-serve and free in the developer portal, working immediately. Caveat: on Business and Enterprise plans, PAT/integration creation is disabled by default and a workspace owner must enable it in Settings -> Connections first, which makes access effectively ADMIN_GATED for those specific workspaces.",https://developers.notion.com/docs/create-a-notion-integration,REST,MODERATE,"Covers pages, databases, blocks, users, comments, and search -- the full content model of the product, but a narrower object surface than a platform like Salesforce or Stripe. Classified MODERATE rather than BROAD on that comparative basis.",https://developers.notion.com/docs/create-a-notion-integration,OFFICIAL,https://developers.notion.com/guides/mcp/overview,READY,,MEDIUM,FALSE,CONDITIONAL_ACCESS,https://developers.notion.com/docs/create-a-notion-integration; https://developers.notion.com/guides/mcp/overview; https://developers.notion.com,v2,2026-09-16
Otter AI,AI Research and Media-native,"Otter.ai is a meeting transcription and notes platform with a REST API for channels, conversations, transcripts, and workspace data.",TOKEN,https://help.otter.ai/hc/en-us/articles/36130822688279-Otter-ai-Public-API,PAID,"The Public API is available only to Enterprise workspaces ('If you do not see this feature for your workspace, contact your Otter account manager'); it is not available on lower-tier plans and is not self-serve outside Enterprise.",https://help.otter.ai/hc/en-us/articles/36130822688279-Otter-ai-Public-API,REST,MODERATE,"Channels, conversations, transcripts, audio, action items, insights, outlines, workspace details, and webhooks.",https://help.otter.ai/hc/en-us/articles/36130822688279-Otter-ai-Public-API,OFFICIAL,https://help.otter.ai/hc/en-us/articles/35287607569687-Otter-MCP-Server; https://otter.ai/blog/otter-mcp-your-meetings-now-power-every-tool-you-use,NEEDS_REVIEW,Public API access is restricted to Enterprise workspace plans. [auto-flag] original verdict was GATED: BUILDABILITY=GATED but ACCESS_MODEL=PAID is not a gated model,LOW,TRUE,BUILDABILITY_CONTRADICTION; LOW_CONFIDENCE; MCP_UNVERIFIED; SOURCE_NOT_VERIFIED,https://help.otter.ai/hc/en-us/articles/36130822688279-Otter-ai-Public-API; https://help.otter.ai/hc/en-us/articles/35287607569687-Otter-MCP-Server,v2,2026-09-16
Paygent Connect,Finance and Fintech,"Input hint identifies this as 'Paygent (NMI-powered)', suggesting an NMI-based white-label payment gateway, but no single official source for a product matching this exact name could be confirmed.",UNCLEAR,,UNCLEAR,"Multiple unrelated companies share the 'Paygent' name (UK merchant services at paygent.co.uk, a legacy Japanese gateway documented only via a third-party IXOPAY adapter page, an AI-agent crypto payment product at paygent.net/paygent.tech, and paygent.ai). None of these precisely match 'Paygent Connect' with an NMI-powered white-label positioning, and no dedicated official documentation site could be found for that specific product.",,NONE_FOUND,UNCLEAR,"No official developer documentation could be located for a product matching this exact name; NMI itself (the underlying gateway referenced in the hint) has its own separate developer portal at docs.nmi.com, but no confirmed link between NMI and a product called 'Paygent Connect' was found.",,UNCLEAR,,NEEDS_REVIEW,Could not identify a single official source confirming which product this entry refers to; multiple same-named but unrelated companies exist.,LOW,TRUE,ACCESS_UNCLEAR; API_UNCLEAR; AUTH_UNCLEAR; CONFLICTING_SOURCES; LOW_CONFIDENCE; NO_OFFICIAL_SOURCE,,v2,2026-09-16
Pinterest,Marketing Ads Email and Social,"Pinterest API v5 lets developers manage pins, boards, and ad campaigns for a Pinterest business account.",OAUTH2,https://developers.pinterest.com/docs/getting-started/set-up-authentication-and-authorization/,SELF_SERVE_FREE,"App creation and OAuth setup are self-serve via the developer portal for a standard access tier; higher trial/standard API access tiers exist for scale, per Pinterest's own docs structure, but were not further probed in this pass.",https://developers.pinterest.com/docs/getting-started/set-up-app/,REST,MODERATE,"Pins, boards, ad campaigns, and conversions/analytics.",https://developers.pinterest.com/docs/api/v5/oauth-conversion_token/,COMMUNITY,https://www.pulsemcp.com/servers/terryso-pinterest,READY,,MEDIUM,TRUE,SOURCE_NOT_VERIFIED,https://developers.pinterest.com/docs/getting-started/set-up-authentication-and-authorization/,v2,2026-09-16
